,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Eastside (with Halsey & Khalid),0.555,0.56,0.68,0.0,0.116,-7.648,0,0.321,89.391,4,0.319,3058078,England,0d2iYfpKoM0QCKvcLCkBao
1,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,0.325,-5.991,1,0.0394,123.07,4,0.486,3030423,England,5N5k9nd479b1xpDZ4usjrg
2,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,2954368,England,2dpaYNEQHiRxtZbfNsse99
3,I Love It (& Lil Pump),0.0114,0.901,0.522,0.0,0.259,-8.304,1,0.33,104.053,4,0.329,2924600,England,4S8d14HvHb70ImctNgVzQQ
4,Electricity (with Dua Lipa),0.0104,0.588,0.67,3.33e-06,0.338,-6.439,1,0.0473,118.159,4,0.505,2289594,England,5N4erncE7kuUccm7zEmwzk
5,Taste (feat. Offset),0.0236,0.884,0.559,0.0,0.101,-7.442,1,0.12,97.994,4,0.342,1765812,England,5IaHrVsrferBYDm0bDyABy
6,Body (feat. brando),0.0476,0.752,0.764,9.44e-05,0.0543,-4.399,1,0.038,121.958,4,0.582,1753191,England,7K7MUBCnzgBAvMVW2RTWNs
7,In My Mind,0.176,0.694,0.77,1.1e-05,0.118,-5.335,1,0.149,125.905,4,0.163,1744391,England,0E9ZjEAyAwOXZ7wJC0PD33
8,In My Feelings,0.0589,0.835,0.626,6e-05,0.396,-5.833,1,0.125,91.03,4,0.35,1713066,England,2G7V7zsVDxg1yRsu7Ew9RJ
9,Lucid Dreams,0.349,0.511,0.566,0.0,0.34,-7.23,0,0.2,83.903,4,0.218,1640512,England,0s3nnoMeVWz3989MkNQiRf
10,Shotgun,0.286,0.673,0.735,0.0,0.242,-4.733,1,0.0457,115.744,4,0.754,1638952,England,4ofwffwvvnbSkrMSCKQDaC
11,All I Am,0.0445,0.74,0.669,0.0,0.184,-5.199,1,0.0373,122.007,4,0.536,1633042,England,6X6SdJzxyw7GzxwP2fr9WV
12,Falling Down - Bonus Track,0.0175,0.669,0.574,0.00294,0.146,-6.442,0,0.0286,120.013,4,0.273,1630027,England,0Dn40gxVCMo5TkgS8Ik18Q
13,Be Alright,0.697,0.553,0.586,0.0,0.0813,-6.319,1,0.0362,126.684,4,0.443,1457309,England,3EPXxR3ImUwfayaurPi3cm
14,God is a woman,0.0233,0.602,0.658,6e-05,0.237,-5.934,1,0.0558,145.031,4,0.268,1457197,England,5OCJzvD7sykQEKHH7qAC3C
15,breathin,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,1,0.0433,100.049,4,0.364,1455355,England,4OafepJy2teCjYJbvFE60J
16,No Brainer,0.0733,0.552,0.76,0.0,0.0865,-4.706,1,0.342,135.702,5,0.639,1416417,England,5WvAo7DNuPRmk4APhdPzi8
17,Lucky You (feat. Joyner Lucas),0.0627,0.876,0.786,0.0,0.127,-4.884,0,0.306,153.068,4,0.575,1378081,England,60SdxE8apGAxMiRrpbmLY0
18,High Hopes,0.193,0.579,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681,1363484,England,1rqqCSm0Qe4I9rUvWncaom
19,SICKO MODE,0.00513,0.834,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446,1298089,England,2xLMifQCjDGFmkHkpNLD9h
20,Let You Love Me,0.288,0.531,0.854,0.0,0.0773,-3.149,1,0.198,94.419,4,0.456,1210528,England,6xtcFXSo8H9BZN637BMVKS
21,Killshot,0.0995,0.893,0.651,0.0,0.371,-8.647,0,0.367,105.835,4,0.6,1197893,England,1jo3TwNGCXfNdB5uba3ZVv
22,Mona Lisa (feat. Kendrick Lamar),0.371,0.856,0.694,0.0,0.109,-4.393,1,0.169,122.08,4,0.489,1195013,England,0dbTQYW3Ad1FTzIA9t90E8
23,Thunderclouds,0.0085,0.691,0.716,9.06e-06,0.263,-5.985,1,0.0351,112.035,4,0.507,1171336,England,5a8RPWgKSmcGBGcffmIrUi
