,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Sunflower - Spider-Man: Into the Spider-Verse,0.556,0.76,0.479,0.0,0.0703,-5.574,1,0.0466,89.911,4,0.913,1894462,Australia,3KkXRkHbMCARz0aVfEt68P
1,"thank u, next",0.28,0.724,0.647,0.0,0.102,-5.642,1,0.0658,106.96,4,0.435,1682916,Australia,2rPE9A1vEgShuZxxzR2tZH
2,Without Me,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,1,0.0705,136.041,4,0.533,1584380,Australia,5p7ujcrUXASCNwRaWNHR1C
3,Wow.,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0,0.178,99.947,4,0.385,1541714,Australia,6MWtB6iiXyIwun0YzU6DFP
4,Sweet but Psycho,0.0691,0.719,0.704,0.0,0.166,-4.724,1,0.0476,133.002,4,0.628,1460744,Australia,25sgk305KZfyuqVBQIahim
5,Eastside (with Halsey & Khalid),0.549,0.632,0.686,0.0,0.2,-7.665,0,0.243,89.949,4,0.329,1217834,Australia,7FGq80cy8juXBCD2nrqdWU
6,Shotgun,0.286,0.673,0.735,0.0,0.242,-4.733,1,0.0457,115.744,4,0.754,1067623,Australia,4ofwffwvvnbSkrMSCKQDaC
7,Better,0.0765,0.596,0.552,0.334,0.104,-10.278,0,0.097,97.949,4,0.112,1045265,Australia,6zeeWid2sgw4lap2jV61PZ
8,SICKO MODE,0.00513,0.834,0.73,0.0,0.124,-3.714,1,0.222,155.008,4,0.446,1042516,Australia,2xLMifQCjDGFmkHkpNLD9h
9,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.00987,0.601,0.794,1.36e-06,0.388,-5.844,0,0.0671,114.066,4,0.244,974329,Australia,27rdGxbavYJeBphck5MZAF
10,Happier,0.191,0.687,0.792,0.0,0.167,-2.749,1,0.0452,100.015,4,0.671,955240,Australia,2dpaYNEQHiRxtZbfNsse99
11,Body (feat. brando),0.0476,0.752,0.764,9.44e-05,0.0543,-4.399,1,0.038,121.958,4,0.582,859678,Australia,7K7MUBCnzgBAvMVW2RTWNs
12,Youngblood,0.0169,0.596,0.854,0.0,0.124,-5.114,0,0.463,120.274,4,0.152,845459,Australia,2iUXsYOEPhVqEBwsqP70rE
13,Bad Liar,0.0722,0.383,0.637,0.0,0.368,-6.993,1,0.0703,177.913,4,0.0827,841634,Australia,2RSHsoi04658QL5xgQVov3
14,Be Alright,0.697,0.553,0.586,0.0,0.0813,-6.319,1,0.0362,126.684,4,0.443,833537,Australia,3EPXxR3ImUwfayaurPi3cm
15,when the party's over,0.979,0.498,0.104,7.86e-05,0.0895,-14.08,0,0.0621,124.001,3,0.205,794195,Australia,14JzyD6FlBD5z0wV5P07YI
16,Leave Me Lonely,0.279,0.764,0.868,0.0,0.175,-5.827,1,0.0505,131.031,4,0.754,758962,Australia,03Pg5wDlaYAZlTNLeAfl2r
17,Let You Love Me,0.275,0.475,0.846,0.0,0.0824,-3.344,1,0.283,96.036,4,0.451,751381,Australia,5Fla3zyOCcIRqrDoKLU0DP
18,Shallow,0.371,0.572,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323,739155,Australia,2VxeLyX666F8uXCJ0dZF8B
19,imagine,0.374,0.714,0.474,0.0,0.106,-4.993,1,0.039,62.484,3,0.376,732448,Australia,0todbbT9g5uQGbeFCiBf2F
20,Close To Me (with Diplo) (feat. Swae Lee),0.0954,0.575,0.758,0.0,0.394,-5.029,0,0.0618,144.107,4,0.493,717820,Australia,5JEx7HbmvHQQswJCsoo9rA
21,In My Mind,0.176,0.694,0.77,1.1e-05,0.118,-5.335,1,0.149,125.905,4,0.163,714801,Australia,0E9ZjEAyAwOXZ7wJC0PD33
22,Waiting,0.372,0.787,0.448,0.0,0.0779,-7.671,0,0.0508,138.03,4,0.471,703638,Australia,0TBFJanfWaByPIi3f7RR82
23,1999,0.0227,0.739,0.742,1.39e-06,0.229,-4.586,1,0.0329,124.016,4,0.659,681792,Australia,05mAIVLkIWc2d1UBYZBCp8
24,Better Now,0.331,0.68,0.578,0.0,0.135,-5.804,1,0.04,145.038,4,0.341,679882,Australia,7dt6x5M1jzdTEt8oCbisTK
25,ZEZE (feat. Travis Scott & Offset),0.0521,0.861,0.603,0.0,0.0924,-5.788,0,0.176,98.043,4,0.504,677792,Australia,0FZ4Dmg8jJJAPJnvBIzD9z
26,Saturday Nights,0.606,0.551,0.44,3.02e-05,0.11,-8.559,1,0.0985,167.923,4,0.341,673500,Australia,5kfNriitmkNE8mUbZ7gbq8
27,Going Bad (feat. Drake),0.259,0.889,0.496,0.0,0.252,-6.365,0,0.0905,86.003,4,0.544,640968,Australia,2IRZnDFmlqMuOrYOLnZZyc
28,Promises (with Sam Smith),0.0119,0.781,0.768,4.91e-06,0.325,-5.991,1,0.0394,123.07,4,0.486,638735,Australia,5N5k9nd479b1xpDZ4usjrg
29,Love Someone,0.172,0.538,0.409,0.0,0.11,-6.581,0,0.0505,171.838,4,0.265,628947,Australia,3id2EVGKc3eFAMn9nFnB0r
30,Ruin My Life,0.423,0.665,0.699,0.0,0.0969,-5.265,1,0.0578,124.896,4,0.585,603763,Australia,5tAa8Uaqr4VvA3693mbIhU
31,Arms Around You (feat. Maluma & Swae Lee),0.0302,0.703,0.723,2.06e-06,0.126,-5.45,0,0.0412,104.969,4,0.288,594914,Australia,2LskIZrCeLxRvCiGP8gxlh
32,Rise,0.327,0.687,0.785,0.0,0.203,-4.65,1,0.0333,106.046,4,0.655,592693,Australia,3KLygy1YWhmrQx0GRs7IOx
33,Mo Bamba,0.194,0.729,0.625,0.00986,0.248,-5.266,1,0.0315,146.034,4,0.261,584842,Australia,1xzBco0xcoJEDXktl7Jxrr
34,Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.0,0.13,-6.825,1,0.0505,124.959,4,0.448,584679,Australia,7fa9MBXhVfQ8P8Df9OEbD8
35,High Hopes,0.193,0.579,0.904,0.0,0.064,-2.729,1,0.0618,82.014,4,0.681,582331,Australia,1rqqCSm0Qe4I9rUvWncaom
36,Lucid Dreams,0.349,0.511,0.566,0.0,0.34,-7.23,0,0.2,83.903,4,0.218,557767,Australia,285pBltuF7vW8TeWk8hdRR
37,So Close,0.121,0.7,0.872,7.08e-06,0.103,-5.896,1,0.0666,125.03,4,0.761,550599,Australia,7FjZU7XFs7P9jHI9Z0yRhK
38,God's Plan,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,1,0.109,77.169,4,0.357,531536,Australia,6DCZcSspjsKoFjzjrWoCdn
39,Taste (feat. Offset),0.0236,0.884,0.559,0.0,0.101,-7.442,1,0.12,97.994,4,0.342,529680,Australia,5IaHrVsrferBYDm0bDyABy
40,rockstar (feat. 21 Savage),0.124,0.585,0.52,7.01e-05,0.131,-6.136,0,0.0712,159.801,4,0.129,528756,Australia,0e7ipj03S05BNilyu5bRzt
41,Bohemian Rhapsody - Remastered 2011,0.288,0.392,0.402,0.0,0.243,-9.961,0,0.0536,143.883,4,0.228,525616,Australia,7tFiyTwD0nx5a1eklYtX2J
42,Day Drunk,0.015,0.647,0.754,0.0,0.0684,-5.446,1,0.0378,97.005,4,0.755,523646,Australia,7nGuT0EfqQ1TXcADEKwB6Q
43,2002,0.0372,0.697,0.683,0.0,0.137,-2.881,0,0.117,96.133,4,0.603,513464,Australia,2BgEsaKNfHUdlh97KmvFyo
44,In My Feelings,0.0589,0.835,0.626,6e-05,0.396,-5.833,1,0.125,91.03,4,0.35,506995,Australia,2G7V7zsVDxg1yRsu7Ew9RJ
45,I Love It (& Lil Pump),0.0114,0.901,0.522,0.0,0.259,-8.304,1,0.33,104.053,4,0.329,502666,Australia,4S8d14HvHb70ImctNgVzQQ
46,Psycho (feat. Ty Dolla $ign),0.546,0.75,0.56,0.0,0.111,-8.094,1,0.105,140.06,4,0.459,489548,Australia,3swc6WTsr7rl9DqQKQA55C
47,I Fall Apart,0.0689,0.556,0.538,0.0,0.196,-5.408,0,0.0382,143.95,4,0.291,489465,Australia,75ZvA4QfFiZvzhj2xkaWAh
48,whoa (mind in awe),0.653,0.735,0.525,0.918,0.101,-2.939,0,0.0441,160.147,4,0.369,484861,Australia,7pdF27mSDuPWhppnHAmWHa
49,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,468070,Australia,3ee8Jmje8o58CHK66QrVC2
50,lovely,0.934,0.351,0.296,0.0,0.095,-10.109,0,0.0333,115.284,4,0.12,412132,Australia,1NJcg626wLln4pGHpiV7mf
51,I Like It,0.099,0.816,0.726,0.0,0.372,-3.998,0,0.129,136.048,4,0.65,411001,Australia,58q2HKrzhC3ozto2nDdN4z
52,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,379041,Australia,7qiZfU4dY1lWllzX7mPBI3
53,monster,0.158,0.89,0.607,0.000228,0.118,-6.916,0,0.124,134.022,4,0.224,370646,Australia,2FUNBaa5DwItJtYEBgAblU
54,Fire,0.0256,0.679,0.69,8.92e-06,0.07,-2.744,0,0.054,99.949,4,0.648,368994,Australia,3BZkEOJwKUYRlkLWZB1izC
55,Happy Now,0.374,0.693,0.575,0.0,0.252,-6.998,1,0.0801,117.999,4,0.492,358916,Australia,14sOS5L36385FJ3OL8hew4
56,Mr. Brightside,0.00101,0.356,0.924,0.0,0.0953,-3.74,1,0.0808,148.017,4,0.232,355111,Australia,7oK9VyNzrYvRFo7nQEYkWN
57,Don't Stop Me Now - Remastered 2011,0.0475,0.559,0.868,0.000176,0.776,-5.276,1,0.17,156.295,4,0.609,355011,Australia,5T8EDUDqKcs6OSOwEsfqG7
58,Nice For What,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,1,0.0707,93.372,4,0.758,354876,Australia,3CA9pLiwRIGtUBiMjbZmRw
59,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0,0.228,95.881,4,0.617,353282,Australia,4w8niZpiMy6qz1mntFA5uM
60,Drip Too Hard (Lil Baby & Gunna),0.0852,0.897,0.662,0.0,0.534,-6.903,0,0.292,112.511,4,0.389,352941,Australia,78QR3Wp35dqAhFEc2qAGjE
61,Electricity (with Dua Lipa),0.0104,0.588,0.67,3.33e-06,0.338,-6.439,1,0.0473,118.159,4,0.505,351675,Australia,5N4erncE7kuUccm7zEmwzk
62,Hope,0.488,0.773,0.699,3.6e-06,0.0814,-5.982,0,0.0958,104.941,4,0.513,349138,Australia,4BiiOzZCrXEzHRLYcYFiD5
63,Kiss and Make Up,0.0557,0.675,0.729,0.0,0.189,-4.383,1,0.146,99.986,4,0.63,347993,Australia,13hvHEstJ4sNbzdroPrPI3
64,This Feeling,0.0558,0.575,0.571,0.0,0.0912,-7.906,1,0.0439,105.049,4,0.449,344881,Australia,4NBTZtAt1F13VvlSKe6KTl
65,Beautiful (feat. Camila Cabello),0.346,0.638,0.717,0.0,0.105,-4.722,1,0.0337,100.027,4,0.249,344749,Australia,4VUwkH455At9kENOfzTqmF
66,no tears left to cry,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0,0.0594,121.993,4,0.354,344606,Australia,2qT1uLXPVPzGgFOx4jtEuo
67,Soaked,0.485,0.792,0.54,0.0,0.104,-5.975,0,0.0342,93.001,4,0.577,343115,Australia,70TEuKwiK0bd5phEQkbvT4
68,There's No Way (feat. Julia Michaels),0.49,0.755,0.625,0.0,0.157,-7.114,1,0.0896,147.02,4,0.374,331761,Australia,2hnxrRNzF74mdDzpQZQukQ
69,Young Dumb & Broke,0.199,0.799,0.539,1.66e-05,0.165,-6.351,1,0.0421,136.948,4,0.394,331254,Australia,5Z3GHaZ6ec9bsiI5BenrbY
70,Africa,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,1,0.0323,92.718,4,0.732,330996,Australia,2374M0fQpWi3dLnB54qaLX
71,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0,0.11,123.994,4,0.592,324386,Australia,7ef4DlsgrMEH11cDZd32M6
72,Grip,0.331,0.598,0.904,0.0,0.264,-2.293,1,0.0507,138.091,4,0.503,324098,Australia,3gicyfiEVMGONgzygpWjNT
73,Money,0.00534,0.95,0.59,0.0,0.11,-6.508,0,0.29,130.003,4,0.219,324036,Australia,2GGMabyHXnJmjY6CXhhB2e
74,I'll Be There,0.0288,0.627,0.858,0.0,0.199,-3.116,1,0.0394,100.074,4,0.399,322498,Australia,73FebDuELlAEinHw1xWJCZ
75,Moonlight,0.556,0.921,0.537,0.00404,0.102,-5.723,0,0.0804,128.009,4,0.711,321632,Australia,0JP9xo3adEtGSdUEISiszL
76,Rewrite The Stars (with James Arthur & Anne-Marie),0.237,0.67,0.743,0.0,0.465,-4.993,1,0.0393,125.944,4,0.571,315826,Australia,6mQLN3zRtAp6ovjusyYKrV
77,Nonstop,0.0165,0.912,0.412,0.0126,0.104,-8.074,1,0.123,154.983,4,0.423,315412,Australia,0TlLq3lA83rQOYtrqBqSct
78,Jocelyn Flores,0.469,0.872,0.391,4.13e-06,0.297,-9.144,0,0.242,134.021,4,0.437,315380,Australia,7m9OqQk4RVRkw9JJdeAw96
79,Leave Me Alone,0.107,0.792,0.743,0.0,0.183,-2.806,1,0.0851,150.024,4,0.742,313591,Australia,14mHfNsSHN0FbLftyjrV9g
80,The Middle,0.171,0.753,0.657,0.0,0.112,-3.061,1,0.0449,107.01,4,0.437,311612,Australia,09IStsImFySgyp0pIQdqAc
81,Closer,0.414,0.748,0.524,0.0,0.111,-5.599,1,0.0338,95.01,4,0.661,310581,Australia,7BKLCZ1jbUBVqRi2FVlTVw
