,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
0,Despacito - Remix,0.229,0.694,0.815,0.0,0.0924,-4.328,1,0.12,88.931,4,0.813,12988091,America,5CtI0qwDJkDQGwXD1H1cLb
1,HUMBLE.,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0,0.102,150.011,4,0.421,12877155,America,7KXjTSCq5nL1LoYtL7XAwS
2,I'm the One,0.0533,0.599,0.667,0.0,0.134,-4.267,1,0.0367,80.984,4,0.817,10994393,America,72Q0FQQo32KJloivv5xge2
3,XO TOUR Llif3,0.00264,0.732,0.75,0.0,0.109,-6.366,0,0.231,155.096,4,0.401,10967490,America,2eMwDehkIC1j68U6FA3Eiq
4,Congratulations,0.215,0.63,0.804,0.0,0.253,-4.183,1,0.0363,123.146,4,0.492,7883648,America,3a1lNhkSLSkpJE4MSHpDu9
5,Mask Off,0.0102,0.833,0.434,0.0219,0.165,-8.795,1,0.431,150.062,4,0.281,7363960,America,3rOSwuTsUlJp0Pu0MkN8r8
6,Unforgettable,0.0293,0.726,0.769,0.0101,0.104,-5.043,1,0.123,97.985,4,0.733,7265405,America,1F2HXIJrE2Xn81OzT2zZvW
7,DNA.,0.00454,0.638,0.523,0.0,0.0842,-6.664,1,0.357,139.913,4,0.422,6744161,America,6HZILIRieu8S0iqY8kIKhj
8,Location,0.33,0.736,0.449,0.000162,0.0898,-11.462,0,0.425,80.126,4,0.326,6049023,America,152lZdxL1OR0ZMW6KquMif
9,Redbone,0.172,0.745,0.356,0.00943,0.123,-10.425,1,0.0941,160.033,4,0.607,5931009,America,3kxfsdsCpFgN412fpnW85Y
10,1-800-273-8255,0.569,0.62,0.574,0.0,0.19,-7.788,0,0.0479,100.023,4,0.357,5857001,America,5tz69p7tJuGPeMGwNTxYuV
11,Now Or Never,0.107,0.67,0.585,1.11e-06,0.131,-4.861,0,0.0354,110.03,4,0.447,5443357,America,7i2DJ88J7jQ8K7zqFX2fW8
12,That's What I Like,0.013,0.853,0.56,0.0,0.0944,-4.961,1,0.0406,134.066,4,0.86,5424518,America,0KKkJNfGyhkQ5aFogxQAPU
13,Stay (with Alessia Cara),0.232,0.679,0.634,0.0,0.115,-5.024,0,0.0654,102.013,4,0.498,5397863,America,0dA2Mk56wEzDgegdC6R17g
14,iSpy (feat. Lil Yachty),0.378,0.746,0.653,0.0,0.229,-6.745,1,0.289,75.016,4,0.672,5122435,America,2EEeOnHehOozLq4aS0n6SL
15,goosebumps,0.0847,0.841,0.728,0.0,0.149,-3.37,1,0.0484,130.049,4,0.43,5060196,America,6gBFPUFcJLzWGx4lenP6h2
16,Magnolia,0.0114,0.791,0.582,0.0,0.35,-7.323,0,0.286,162.991,4,0.443,5048202,America,1e1JKLEDKP7hEQzJfNAgPl
17,LOVE. FEAT. ZACARI.,0.264,0.8,0.585,0.0,0.153,-7.343,1,0.0924,126.058,4,0.779,4976369,America,6PGoSes0D9eUDeeAafB2As
18,Passionfruit,0.256,0.809,0.463,0.085,0.109,-11.377,1,0.0396,111.98,4,0.364,4842442,America,7hDc8b7IXETo14hHIHdnhd
19,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,4723231,America,7qiZfU4dY1lWllzX7mPBI3
20,Malibu,0.0577,0.565,0.782,4.16e-05,0.0757,-6.413,1,0.0506,140.004,4,0.4,4722505,America,2habSXqcJGExM6JJyskY7O
21,Attention,0.0969,0.774,0.626,3.12e-05,0.0848,-4.432,0,0.0432,100.041,4,0.777,4678994,America,4iLqG9SeJSnt0cSPICSjxv
22,Body Like A Back Road,0.447,0.732,0.458,0.0,0.136,-7.225,1,0.0311,98.938,4,0.661,4604039,America,7mldq42yDuxiUNn08nvzHO
23,Slide (feat. Frank Ocean & Migos),0.498,0.736,0.795,1.21e-06,0.254,-3.299,0,0.0545,104.066,4,0.511,4495414,America,6gpcs5eMhJwax4mIfKDYQk
24,Drowning (feat. Kodak Black),0.501,0.839,0.81,0.0,0.117,-5.274,0,0.0568,129.014,4,0.814,4407990,America,3LnOF5n1GOs01siYZXzS3p
25,Strip That Down,0.246,0.869,0.485,0.0,0.0765,-5.595,1,0.0545,106.028,4,0.527,4359912,America,6EpRaXYhGOB3fj4V2uDkMJ
26,Portland,0.0172,0.925,0.443,0.0,0.276,-8.216,1,0.264,136.078,4,0.35,4355751,America,2bjwRfXMk4uRgOD9IBYl9h
27,Slippery (feat. Gucci Mane),0.307,0.92,0.674,0.0,0.104,-5.662,0,0.264,141.967,4,0.741,4338122,America,6p8NuHm8uCGnn2Dtbtf7zE
28,Bad Liar,0.175,0.953,0.41,0.0,0.0768,-6.543,1,0.0705,121.074,4,0.718,4044581,America,1sCxVKWImDZSZKvG0U9B23
